Artist,Title,Album,Date,Lyric,Top Genre
Coldplay,Hymn for the Weekend,A Head Full of Dreams,2016-01-25,beyoncé and said drink from me drink from me ohahohah that we shoot across the sky symphony that we shoot across the sky pour on a drink from me drink from me ohahohah that we shoot across the sky symphony so high so high that we shoot across the sky   chris martin oh angel sent from up above you know you make my world light up when i was down when i was hurt you came to lift me up life is a drink and love's a drug oh now i think i must be miles up when i was a river dried up you came to rain a flood  pre chris martin with beyoncé you said drink from me drink from me when i was so thirsty poured on a symphony now i just can't get enough put your wings on me wings on me when i was so heavy poured on a symphony when i'm low low low low   chris martin i ohi ohi got me feeling drunk and high so high so high ohi ohi ohi now im feeling drunk and high so high so high woo woooooooowoo   chris martin with beyoncé oh angel sent from up above i feel you coursing through my blood life is a drink and your love's about to make the stars come out  pre chris martin with beyoncé put your wings on me wings on me when i was so heavy poured on a symphony when i'm low low low low   chris martin i ohi ohi got me feeling drunk and high so high so high ohi ohi ohi im feeling drunk and high so high so high   beyoncé with chris martin i ohi ohi la la la la la la la so high so high i ohi ohi now i'm feeling drunk and high so high so high   beyoncé  with chris martin that i shoot across the sky that i shoot across the that i shoot across the sky let me shoot across the let me shoot let me shoot across the sky let me shoot across the let me shoot across the sky that we shoot across the,permanent wave
Coldplay,A Sky Full of Stars,Ghost Stories,2014-05-02,'cause you're a sky 'cause you're a sky full of stars i'm gonna give you my heart 'cause you're a sky 'cause you're a sky full of stars 'cause you light up the path   i don't care go on and tear me apart i don't care if you do oohooh ooh 'cause in a sky 'cause in a sky full of stars i think i saw you oohoohooh oohoohooh   'cause you're a sky 'cause you're a sky full of stars i wanna die in your arms ohohoh ohoh 'cause you get lighter the more it gets dark i'm gonna give you my heart oh   i don't care go on and tear me apart i don't care if you do oohooh ooh 'cause in a sky 'cause in a sky full of stars i think i see you oohoohooh oohoohooh i think i see you oohoohooh oohoohooh   'cause you're a sky you're a sky full of stars such a heavenly view you're such a heavenly view yeah yeah yeah ooh,permanent wave
Coldplay,Everglow,A Head Full of Dreams,2015-11-26,oh they say people come say people go this particular diamond was extra special and though you might be gone and the world may not know still i see you celestial   like a lion you ran a goddess you rolled like an eagle you circled in perfect purple so how come things move on how come cars dont slow when it feels like the end of my world when i should but i cant let you go    but when im cold cold when im cold cold theres a light that you give me when im in shadow theres a feeling within me everglow   like brothers in blood sisters who ride and we swore on that night wed be friends 'til we die but the changing of winds and the way waters flow life is short as the falling of snow and now im gonna miss you i know    but when im cold cold in water rolled salt and i know that youre with me and the way you will show and youre with me wherever i go and you give me this feeling this everglow   oh what i wouldn't give for just a moment to hold because i live for this feeling this everglow   so if you love someone you should let them know oh the light that you left me will everglow,permanent wave
Coldplay,Adventure of a Lifetime,A Head Full of Dreams,2015-11-06,indecipherable   turn your magic on umi she'd say everything you want's a dream away and we are legends every day that's what she told him   turn your magic on to me she'd say everything you want's a dream away under this pressure under this weight we are diamonds   now i feel my heart beating i feel my heart beneath my skin and i feel my heart beating oh you make me feel like i'm alive again  post alive again oh you make me feel like i'm alive again   said i can't go on not in this way i'm a dream that died by light of day gonna hold up half the sky and say only i own me   now i feel my heart beating i feel my heart beneath my skin oh i can feel my heart beating 'cause you make me feel like i'm alive again  post alive again oh you make me feel like i'm alive again   turn your magic on umi she'd say everything you want's a dream away under this pressure under this weight we are diamonds taking shape we are diamonds taking shape woo woo  refrain if we've only got this life this adventure oh then i and if we've only got this life you'll get me through and if we've only got this life in this adventure oh then i want to share it with you with you with you yeah i do   woohoo woohoo woohoo woohoo woohoo woohoo woohoo woohoo woohoo woohoo woohoo woohoo,permanent wave
Coldplay,Paradise,Mylo Xyloto,2011-09-12,oohoohooh oohoohooh oohoohooh oohoohooh oohoohooh oohoohooh when she was just a girl she expected the world but it flew away from her reach so she ran away in her sleep   and dreamed of paraparaparadise paraparaparadise paraparaparadise every time she closed her eyes   oohoohooh oohoohooh oohoohooh oohoohooh oohoohooh oohoohooh when she was just a girl she expected the world but it flew away from her reach and the bullets catch in her teeth life goes on it gets so heavy the wheel breaks the butterfly every tear a waterfall in the night the stormy night she'd close her eyes in the night the stormy night away she'd fly   and dream of paraparaparadise paraparaparadise paraparaparadise oh ohoh ohoh ohohoh she'd dream of paraparaparadise paraparaparadise paraparaparadise oh ohoh ohoh ohohoh   la lala lalala la lala lalala la lala lalala lala so lying underneath those stormy skies she said oh ohohohoh i know the sun must set to rise   this could be paraparaparadise paraparaparadise this could be paraparaparadise oh ohoh ohoh ohohoh this could be paraparaparadise paraparaparadise this could be paraparaparadise oh ohoh ohoh ohohoh   break   this could be paraparaparadise this could be paraparaparadise this could be paraparaparadise ohohohohoh ohohoh   oohoohooh oohoohooh oohoohooh oohoohooh oohoohooh oohoohooh oohoohooh oohoohooh oohoohooh oohoohooh oohoohooh,permanent wave
Coldplay,Magic,Ghost Stories,2014-03-03,call it magic call it true i call it magic when i'm with you and i just got broken broken into two still i call it magic when i'm next to you   and i don't and i don't and i don't and i don't no i don't it's true i don't no i don't no i don't no i don't want anybody else but you i don't no i don't no i don't no i don't no i don't it's true i don't no i don't no i don't no i don't want anybody else but you oooh ooh oohooh   call it magic cut me into two and with all your magic i disappear from view and i can't get over can't get over you still i call it magic such a precious jewel   and i don't and i don't and i don't and i don't no i don't it's true i don't no i don't no i don't no i don't want anybody else but you i don't no i don't no i don't no i don't no i don't it's true i don't no i don't no i don't no i don't want anybody else but you   wanna fall fall so far i wanna fall fall so hard and i call it magic and i call it true i call it ma mamamagic oooh ooh oohooh oooh ooh oohooh oooh ooh oohooh oooh ooh oohooh   and if you were to ask me after all that we've been through still believe in magic oh yes i do oh yes i do oh yes i do oh yes i do of course i do,permanent wave
Coldplay,Clocks,A Rush of Blood to the Head,2002-08-26,the lights go out and i can't be saved tides that i tried to swim against have brought me down upon my knees oh i beg i beg and plead singin' come out of things unsaid shoot an apple off my head and a trouble that can't be named a tiger's waiting to be tamed singin'   you are you are   confusion never stops closing walls and tickin' clocks gonna come back and take you home i could not stop that you now know singin' come out upon my seas cursed missed opportunities am i a part of the cure or am i part of the disease singin'   you are you are you are you are you are you are   and nothing else compares oh nothing else compares and nothing else compares   you are you are   home home where i wanted to go home home where i wanted to go home you are home where i wanted to go home you are home where i wanted to go,permanent wave
Coldplay,Up&Up,A Head Full of Dreams,2015-12-04,chris martin fixing up a car driving it again searching for the water hoping for the rain up and up up and up down upon the canvas working meal to meal waiting for a chance to pick your orange field up and up up and up see a pearl form a diamond in the rough see a bird soaring high above the flood it's in your blood it's in your blood underneath the storm an umbrella is saying sitting with the poison takes away the pain up and up up and up it's saying   chris martin were gonna get it get it together right now gonna get it get it together somehow gonna get it get it together and flower ohohohohohoh were gonna get it get it together i know gonna get it get it together and flow gonna get it get it together and go up and up and up   chris martin lying in the gutter aiming for the moon trying to empty out the ocean with a spoon up and up up and up how come people suffer how come people part how come people struggle how come people break your heart break your heart yes i wanna grow yes i want to feel yes i wanna know show me how to heal it up heal it up see the forest there in every seed angels in the marble waiting to be freed just need love just need love when the going is rough saying   chris martin were gonna get it get it together right now gonna get it get it together somehow gonna get it get it together and flower ohohohohohoh were gonna get it get it together i know gonna get it get it together and flow gonna get it get it together and go   chris martin and you can say what is or fight for it close your mind or take a risk you can say its mine and clench your fist or see each sunrise as a gift     jonny buckland   chris martin were gonna get it get it together right now gonna get it get it together somehow gonna get it get it together and flower ohohohohohoh were gonna get it get it together i know gonna get it get it together and flow gonna get it get it together and go up and up and were gonna get it get it together right now gonna get it get it together somehow gonna get it get it together and flower ohohohohohoh were gonna get it get it together i know gonna get it get it together and flow gonna get it get it together and go up and up and up     noel gallagher  interlude chris martin ohohoh ohoh whoa oh ohohoh ohoh whoa oh   chris martin fixing up a car to drive in it again when youre in pain when you think youve had enough dont ever give up don't ever give up  coda annabelle wallis believe in love,permanent wave
Coldplay,Trouble,Parachutes,2000-07-10,oh no i see a spider web is tangled up with me and i lost my head and thought of all the stupid things i'd said   oh no what's this a spider web and i'm caught in the middle so i turned to run and thought of all the stupid things i'd done   and i i never meant to cause you trouble and i i never meant to do you wrong and i well if i ever caused you trouble and oh no i never meant to do you harm   oh no i see a spider web and it's me in the middle so i twist and turn but here am i in my little bubble   singing that i never meant to cause you trouble i never meant to do you wrong and i well if i ever caused you trouble oh no i never meant to do you harm   they spun a web for me they spun a web for me they spun a web for me,permanent wave
Coldplay,Violet Hill,Viva La Vida or Death and All His Friends,2008-05-09,it was a long and dark december from the rooftops i remember there was snow white snow clearly i remember from the windows they were watching while we froze down below when the future's architectured by a carnival of idiots on show you'd better lie low if you love me won't you let me know   was a long and dark december when the banks became cathedrals and a fox became god priests clutched onto bibles hollowed out to fit their rifles and a cross was held aloft bury me in armor when i'm dead and hit the ground my nerves are poles that unfroze and if you love me won't you let me know   i don't want to be a soldier who the captain of some sinking ship would stow far below so if you love me why'd you let me go   i took my love down to violet hill there we sat in snow all that time she was silent still so if you love me won't you let me know if you love me won't you let me know,permanent wave
Coldplay,In My Place,A Rush of Blood to the Head,2002-08-05,in my place in my place were lines that i couldn't change i was lost oh yeah i was lost i was lost crossed lines i shouldn't have crossed i was lost oh yeah  hook yeah how long must you wait for it yeah how long must you pay for it yeah how long must you wait for it for it   i was scared i was scared tired and underprepared but i wait for it and if you go if you go and leave me down here on my own then i'll wait for you yeah  hook yeah how long must you wait for it yeah how long must you pay for it yeah how long must you wait for it for it   sing it please please please come back come sing to me to me me come on and sing it out now now come on and sing it out to me me come back come sing it   in my place in my place were lines that i couldn't change i was lost oh yeah oh yeah,permanent wave
Coldplay,Green Eyes,A Rush of Blood to the Head,2002-08-26,honey you are a rock upon which i stand and i come here to talk i hope you understand  that green eyes yeah the spotlight shines upon you and how could anybody deny you   i came here with a load and it feels so much lighter now i've met you and honey you should know that i could never go on without you green eyes   honey you are the sea upon which i float and i came here to talk i think you should know  that green eyes you're the one that i wanted to find and anyone who tried to deny you must be out of their minds   because i came here with a load and it feels so much lighter since i've met you and honey you should know that i could never go on without you green eyes green eyes   honey you are a rock upon which i stand,permanent wave
Coldplay,Every Teardrop Is a Waterfall,iTunes Festival: London 2011,2011-06-03,i turn the music up i got my records on i shut the world outside until the lights come on maybe the streets alight maybe the trees are gone i feel my heart start beating to my favorite song and all the kids they dance all the kids all night until monday morning feels another life i turn the music up i'm on a roll this time and heaven is in sight   i turn the music up i got my records on from underneath the rubble sing a rebel song don't want to see another generation drop i'd rather be a comma than a full stop maybe i'm in the black maybe i'm on my knees maybe i'm in the gap between the two trapezes but my heart is beating and my pulses start cathedrals in my heart  pre as we saw oh this light i swear you emerge blinking into to tell me it's alright as we soar walls every siren is a symphony   and every tear's a waterfall is a waterfall oh is a waterfall ohohoh is a is a waterfall every tear is a waterfall ohohoh   so you can hurt hurt me bad but still i'll raise the flag   oh it was a wawawawawaterfall a wawawawawaterfall every tear every tear every teardrop is a waterfall every tear every tear every teardrop is a waterfall every tear every tear every teardrop is a waterfall every tear every tear every teardrop is a waterfall every tear every tear every teardrop is a waterfall,permanent wave
Coldplay,Charlie Brown,Mylo Xyloto,2011-10-19,oooo wooo   stole a key took a car downtown where the lost boys meet took a car downtown and took what they offered me to set me free i saw the lights go down at the end of the scene saw the lights go down and standing in front of me  hook oooooooooo   in my scarecrow dreams when they smash my heart into smithereens be a bright red rose come bursting through concrete be a cartoon heart light a fire a fire a spark light a fire a flame in my heart well run wild well be glowing in the dark  hook oooooooooo well be glowing in the dark awooawooooo   all the boys all the girls all that matters in the world all the boys all the girls all the madness that occurs all the highs all the lows as the room aspinning goes well run riot well be glowing in the dark  hook oooooooooo   so well soar luminous and wired well be glowing in the dark,permanent wave
Coldplay,Speed of Sound,X&Y,2005-04-18,how long before i get in before it starts before i begin how long before you decide before i know what it feels like where to where do i go if you never try then you'll never know how long do i have to climb up on the side of this mountain of mine   look up i look up at night planets are moving at the speed of light climb up up in the trees every chance that you get is a chance you seize how long am i gonna stand with my head stuck under the sand i'll start before i can stop before i see things the right way up  hook all that noise and all that sound all those places i got found and birds go flying at the speed of sound to show you how it all began birds came flying from the underground if you could see it then you'd understand   ideas that you'll never find all the inventors could never design the buildings that you put up japan and china all lit up the sign that i couldn't read or a light that i couldn't see some things you have to believe but others are puzzles puzzling me  hook all that noise and all that sound all those places i got found and birds go flying at the speed of sound to show you how it all began birds came flying from the underground if you could see it then you'd understand  ah when you see it then you'll understand   all those signs i knew what they meant some things you can invent some get made and some get sent  hook birds go flying at the speed of sound to show you how it all began birds came flying from the underground if you could see it then you'd understand ah when you see it then you'll understand,permanent wave
Coldplay,A Head Full of Dreams,A Head Full of Dreams,2016-08-19,ambience  oh i think i landed in a world i hadn't seen when i'm feeling ordinary when i don't know what i mean oh i think i landed where there are miracles at work for the thirst and for the hunger come the conference of birds   saying it's true it's not what it seems leave your broken windows open and in the light just streams and you get a head a head full of dreams you can see the change you wanted be what you want to be and you get a head a head full of dreams into life ive just been spoken with a head full a head full of dreams   oh i think i landed where there are miracles at work when you got me openhanded when you got me lost for words i sing ohohoh   a head full of dreams a head full of dreams into life ive just been woken with a head full a head full of dreams,permanent wave
Coldplay,Christmas Lights,Live From Spotify London,2010-12-01,christmas night another fight tears we cried a flood got all kinds of poison in of poison in my blood i took my feet to oxford street tryna right a wrong just walk away those windows say but i can't believe she's gone  refrain when you're still waiting for the snow to fall doesn't really feel like christmas at all   up above candles on air flicker oh they flicker and they float but i'm up here holding on to all those chandeliers of hope like some drunken elvis singing i go singing out of tune saying how i always loved you darling and i always will  refrain oh when you're still waiting for the snow to fall doesn't really feel like christmas at all still waiting for the snow to fall it doesn't really feel like christmas at all    those christmas lights light up the street down where the sea and city meet may all your troubles soon be gone oh christmas lights keep shining on    those christmas lights light up the street maybe they'll bring her back to me then all my troubles will be gone oh christmas lights keep shining on   ohohohoh ohohohoh    oh christmas lights light up the street light up the fireworks in me may all your troubles soon be gone those christmas lights keep shining on,permanent wave
Coldplay,Amsterdam,A Rush of Blood to the Head,2002-08-26,come on oh my star is fading and i swerve out of control if i if i'd only waited i'd not be stuck here in this hole   come here oh my star is fading and i swerve out of control and i swear i waited and waited i've got to get out of this hole   but time is on your side it's on your side now not pushing you down and all around it's no cause for concern   come on oh my star is fading and i see no chance of release and i know i'm dead on the surface but i am screaming underneath   and time is on your side it's on your side now not pushing you down and all around it's no cause for concern   stuck on the end of this ball and chain and i'm on my way back down again stood on a  tied to a noose sick to the stomach you can say what you mean but it won't change a thing i'm sick of the secrets stood on the edge tied to a noose and you came along and you cut me loose you came along and you cut me loose you came along and you cut me loose,permanent wave
Coldplay,Lost!,Viva La Vida or Death and All His Friends,2008-06-12,just because i'm losing doesn't mean i'm lost doesn't mean i'll stop doesn't mean i'm across just because i'm hurting doesn't mean i'm hurt doesn't mean i didn't get what i deserved no better and no worse   i just got lost every river that i tried to cross every door i ever tried was locked oh and i'm just waiting till the shine wears off   you might be a big fish in a little pond doesn't mean you've won cause along may come a bigger one   and you'll be lost every river that you tried to cross every gun you ever held went off oh and i'm just waiting till the firing stopped oh and i'm just waiting till the shine wears off   oh and i'm just waiting till the shine wears off oh and i'm just waiting till the shine wears off oh and i'm just waiting till the shine wears off oh and i'm just waiting till the shine wears off,permanent wave
